slug,name,area,church,kind,is_mother_parish,parent_slug,deanery_slug,address,office_email,latitude,longitude
athlone-st-mary-of-the-angels,Athlone: St Mary of the Angels,Athlone,St Mary of the Angels,parish,yes,,eastern,Lawrence Road Athlone 7764,athlone@adct.org.za,-33.965281,18.502987
atlantis-st-john-the-baptist,Atlantis: St John the Baptist,Atlantis,St John the Baptist,parish,yes,,west-coast,9 Sun Road Avondale Atlantis 7349,atlantis@adct.org.za,-33.562314,18.487449
belgravia-regina-caeli,Belgravia: Regina Caeli,Belgravia,Regina Caeli,parish,yes,,eastern,23 Klipfontein Road Belgravia 7764,belgravia@adct.org.za,-33.964782,18.518838
belhar-ss-john-paul,Belhar: Ss John & Paul,Belhar,Ss John & Paul,parish,yes,,central,33 Willow Way Belhar 7493,belhar@adct.org.za,-33.946567,18.623566
bellville-south-holy-family,Bellville South: Holy Family,Bellville South,Holy Family,parish,no,,northern,18 Eendrag Street Bellville South,,-33.911886,18.635148
bellville-our-lady-of-fatima,Bellville: Our Lady of Fatima,Bellville,Our Lady of Fatima,parish,yes,,northern,Corner Rhos & Welgemeend Streets Bellville 7530,bellville@adct.org.za,-33.900143,18.625173
bergvliet-holy-redeemer,Bergvliet: Holy Redeemer,Bergvliet,Holy Redeemer,parish,yes,,constantiaberg,Bergvliet Road Bergvliet 7945,bergvliet@adct.org.za,-34.042690,18.461475
bettys-bay-our-lady-of-montserrat,Betty's Bay: Our Lady of Montserrat,Betty's Bay,Our Lady of Montserrat,parish,no,,east-coast,"5149 Aristea Road, Betty's Bay 7141",,-34.351947,18.930561
bonteheuwel-st-matthew,Bonteheuwel: St Matthew,Bonteheuwel,St Matthew,parish,yes,,central,118 Jakkalsvlei Avenue Bonteheuwel 7764,bonteheuwel@adct.org.za,-33.945853,18.550560
bothasig-good-shepherd,Bothasig: Good Shepherd,Bothasig,Good Shepherd,parish,yes,,west-coast,1 Goede Hoop Street Bothasig,bothasig@adct.org.za,-33.858887,18.535891
